city_state,name,m_type,state_abrev,state_full
"Abbeville city, Georgia",Abbeville,city,GA,Georgia
"Acworth city, Georgia",Acworth,city,GA,Georgia
"Adairsville city, Georgia",Adairsville,city,GA,Georgia
"Adel city, Georgia",Adel,city,GA,Georgia
"Adrian city, Georgia",Adrian,city,GA,Georgia
"Ailey city, Georgia",Ailey,city,GA,Georgia
"Alamo town, Georgia",Alamo,town,GA,Georgia
"Alapaha town, Georgia",Alapaha,town,GA,Georgia
"Albany city, Georgia",Albany,city,GA,Georgia
"Aldora town, Georgia",Aldora,town,GA,Georgia
"Allenhurst city, Georgia",Allenhurst,city,GA,Georgia
"Allentown city, Georgia",Allentown,city,GA,Georgia
"Alma city, Georgia",Alma,city,GA,Georgia
"Alpharetta city, Georgia",Alpharetta,city,GA,Georgia
"Alston town, Georgia",Alston,town,GA,Georgia
"Alto town, Georgia",Alto,town,GA,Georgia
"Ambrose city, Georgia",Ambrose,city,GA,Georgia
"Americus city, Georgia",Americus,city,GA,Georgia
"Andersonville city, Georgia",Andersonville,city,GA,Georgia
"Arabi town, Georgia",Arabi,town,GA,Georgia
"Aragon city, Georgia",Aragon,city,GA,Georgia
"Arcade city, Georgia",Arcade,city,GA,Georgia
"Argyle town, Georgia",Argyle,town,GA,Georgia
"Arlington city, Georgia",Arlington,city,GA,Georgia
"Arnoldsville city, Georgia",Arnoldsville,city,GA,Georgia
"Ashburn city, Georgia",Ashburn,city,GA,Georgia
"Athens-Clarke County unified government (balance), Georgia",Athens-Clarke County,county,GA,Georgia
"Atlanta city, Georgia",Atlanta,city,GA,Georgia
"Attapulgus city, Georgia",Attapulgus,city,GA,Georgia
"Auburn city, Georgia",Auburn,city,GA,Georgia
"Augusta-Richmond County consolidated government (balance), Georgia",Augusta-Richmond County,county,GA,Georgia
"Austell city, Georgia",Austell,city,GA,Georgia
"Avalon town, Georgia",Avalon,town,GA,Georgia
"Avera city, Georgia",Avera,city,GA,Georgia
"Avondale Estates city, Georgia",Avondale Estates,city,GA,Georgia
"Baconton city, Georgia",Baconton,city,GA,Georgia
"Bainbridge city, Georgia",Bainbridge,city,GA,Georgia
"Baldwin city, Georgia",Baldwin,city,GA,Georgia
"Ball Ground city, Georgia",Ball Ground,city,GA,Georgia
"Barnesville city, Georgia",Barnesville,city,GA,Georgia
"Bartow town, Georgia",Bartow,town,GA,Georgia
"Barwick city, Georgia",Barwick,city,GA,Georgia
"Baxley city, Georgia",Baxley,city,GA,Georgia
"Bellville city, Georgia",Bellville,city,GA,Georgia
"Berkeley Lake city, Georgia",Berkeley Lake,city,GA,Georgia
"Berlin city, Georgia",Berlin,city,GA,Georgia
"Bethlehem town, Georgia",Bethlehem,town,GA,Georgia
"Between town, Georgia",Between,town,GA,Georgia
"Bishop town, Georgia",Bishop,town,GA,Georgia
"Blackshear city, Georgia",Blackshear,city,GA,Georgia
"Blairsville city, Georgia",Blairsville,city,GA,Georgia
"Blakely city, Georgia",Blakely,city,GA,Georgia
"Bloomingdale city, Georgia",Bloomingdale,city,GA,Georgia
"Blue Ridge city, Georgia",Blue Ridge,city,GA,Georgia
