,city_state,name,m_type,state_abrev,state_full,latitude,longitude,county
0,"Abbeville city, Georgia",Abbeville,city,GA,Georgia,31.9921223,-83.3068243,Wilcox County
1,"Acworth city, Georgia",Acworth,city,GA,Georgia,34.0659329,-84.6768796,Cobb County
2,"Adairsville city, Georgia",Adairsville,city,GA,Georgia,34.3687021,-84.9341093,Bartow County
3,"Adel city, Georgia",Adel,city,GA,Georgia,31.1371358,-83.4234936,Cook County
4,"Adrian city, Georgia",Adrian,city,GA,Georgia,32.5307224,-82.5892995,Johnson County
5,"Ailey city, Georgia",Ailey,city,GA,Georgia,32.1874042,-82.5656886,Montgomery County
6,"Alamo town, Georgia",Alamo,town,GA,Georgia,32.1471202,-82.7779171,Wheeler County
7,"Alapaha town, Georgia",Alapaha,town,GA,Georgia,31.3851954,-83.2229323,Berrien County
8,"Albany city, Georgia",Albany,city,GA,Georgia,31.5785074,-84.15574099999999,Dougherty County
9,"Aldora town, Georgia",Aldora,town,GA,Georgia,33.0520707,-84.17575029999999,Lamar County
10,"Allenhurst city, Georgia",Allenhurst,city,GA,Georgia,31.7849323,-81.6087575,Liberty County
11,"Allentown city, Georgia",Allentown,city,GA,Georgia,32.5932119,-83.2257127,Wilkinson County
12,"Alma city, Georgia",Alma,city,GA,Georgia,31.5393701,-82.4623557,Bacon County
13,"Alpharetta city, Georgia",Alpharetta,city,GA,Georgia,34.0753762,-84.2940899,Fulton County
14,"Alston town, Georgia",Alston,town,GA,Georgia,32.080743,-82.4776303,Montgomery County
15,"Alto town, Georgia",Alto,town,GA,Georgia,34.4673222,-83.5737843,Habersham County
16,"Ambrose city, Georgia",Ambrose,city,GA,Georgia,31.5938031,-83.0143147,Coffee County
17,"Americus city, Georgia",Americus,city,GA,Georgia,32.0723861,-84.23268759999999,Sumter County
18,"Andersonville city, Georgia",Andersonville,city,GA,Georgia,32.1959947,-84.13990849999999,Sumter County
19,"Arabi town, Georgia",Arabi,town,GA,Georgia,31.8356967,-83.71390869999999,Crisp County
20,"Aragon city, Georgia",Aragon,city,GA,Georgia,34.0456549,-85.0560579,Polk County
21,"Arcade city, Georgia",Arcade,city,GA,Georgia,34.0778881,-83.5615536,Jackson County
22,"Argyle town, Georgia",Argyle,town,GA,Georgia,31.0741004,-82.64847259999999,Clinch County
23,"Arlington city, Georgia",Arlington,city,GA,Georgia,31.4398976,-84.7249188,Calhoun County
24,"Arnoldsville city, Georgia",Arnoldsville,city,GA,Georgia,33.9051167,-83.21681989999999,Oglethorpe County
25,"Ashburn city, Georgia",Ashburn,city,GA,Georgia,31.7060134,-83.653224,Turner County
26,"Athens-Clarke County unified government (balance), Georgia",Athens-Clarke County,county,GA,Georgia,33.9519347,-83.357567,Clarke County
27,"Atlanta city, Georgia",Atlanta,city,GA,Georgia,33.7489954,-84.3879824,Fulton County
28,"Attapulgus city, Georgia",Attapulgus,city,GA,Georgia,30.7490815,-84.4837998,Decatur County
29,"Auburn city, Georgia",Auburn,city,GA,Georgia,34.0137179,-83.8276759,Barrow County
30,"Augusta-Richmond County consolidated government (balance), Georgia",Augusta-Richmond County,county,GA,Georgia,33.4734978,-82.0105148,Richmond County
31,"Austell city, Georgia",Austell,city,GA,Georgia,33.8126059,-84.6343783,Cobb County
32,"Avalon town, Georgia",Avalon,town,GA,Georgia,34.5020454,-83.1951567,Stephens County
33,"Avera city, Georgia",Avera,city,GA,Georgia,33.1940354,-82.5270728,Jefferson County
34,"Avondale Estates city, Georgia",Avondale Estates,city,GA,Georgia,33.7714939,-84.26714439999999,DeKalb County
35,"Baconton city, Georgia",Baconton,city,GA,Georgia,31.379623,-84.161017,Mitchell County
36,"Bainbridge city, Georgia",Bainbridge,city,GA,Georgia,30.9037995,-84.57546990000002,Decatur County
37,"Baldwin city, Georgia",Baldwin,city,GA,Georgia,34.4917665,-83.5373946,Habersham County
38,"Ball Ground city, Georgia",Ball Ground,city,GA,Georgia,34.3372664,-84.3779515,Cherokee County
39,"Barnesville city, Georgia",Barnesville,city,GA,Georgia,33.0545709,-84.15574950000001,Lamar County
40,"Bartow town, Georgia",Bartow,town,GA,Georgia,32.8787666,-82.4737399,Jefferson County
41,"Barwick city, Georgia",Barwick,city,GA,Georgia,30.8901919,-83.7407217,Thomas County
42,"Baxley city, Georgia",Baxley,city,GA,Georgia,31.7782514,-82.3484618,Appling County
43,"Bellville city, Georgia",Bellville,city,GA,Georgia,32.1524142,-81.97428390000002,Evans County
44,"Berkeley Lake city, Georgia",Berkeley Lake,city,GA,Georgia,33.983712,-84.18658479999999,Gwinnett County
45,"Berlin city, Georgia",Berlin,city,GA,Georgia,31.06824409999999,-83.623778,Colquitt County
46,"Bethlehem town, Georgia",Bethlehem,town,GA,Georgia,33.9320556,-83.7137827,Barrow County
47,"Between town, Georgia",Between,town,GA,Georgia,33.8176113,-83.8074003,Walton County
48,"Bishop town, Georgia",Bishop,town,GA,Georgia,33.8192864,-83.4387722,Oconee County
49,"Blackshear city, Georgia",Blackshear,city,GA,Georgia,31.3060513,-82.2420661,Pierce County
50,"Blairsville city, Georgia",Blairsville,city,GA,Georgia,34.8760734,-83.95844559999999,Union County
51,"Blakely city, Georgia",Blakely,city,GA,Georgia,31.3776754,-84.93409199999999,Early County
52,"Bloomingdale city, Georgia",Bloomingdale,city,GA,Georgia,32.1324248,-81.2990018,Chatham County
53,"Blue Ridge city, Georgia",Blue Ridge,city,GA,Georgia,34.8639719,-84.32408699999999,Fannin County
54,"Bluffton town, Georgia",Bluffton,town,GA,Georgia,31.5229496,-84.8677008,Clay County
55,"Blythe city, Georgia",Blythe,city,GA,Georgia,33.2926427,-82.2015103,Richmond County
56,"Bogart town, Georgia",Bogart,town,GA,Georgia,33.949281,-83.53460799999999,Oconee County
57,"Boston city, Georgia",Boston,city,GA,Georgia,30.7918613,-83.78988679999999,Thomas County
58,"Bostwick city, Georgia",Bostwick,city,GA,Georgia,33.7373442,-83.5143312,Morgan County
59,"Bowdon city, Georgia",Bowdon,city,GA,Georgia,33.5378885,-85.2532818,Carroll County
60,"Bowersville town, Georgia",Bowersville,town,GA,Georgia,34.3728819,-83.0826491,Hart County
61,"Bowman city, Georgia",Bowman,city,GA,Georgia,34.2048295,-83.0307002,Elbert County
62,"Braselton town, Georgia",Braselton,town,GA,Georgia,34.1092735,-83.7626729,Jackson County
63,"Braswell town, Georgia",Braswell,town,GA,Georgia,33.9892676,-84.9629999,Polk County
64,"Bremen city, Georgia",Bremen,city,GA,Georgia,33.7212179,-85.1455036,Haralson County
65,"Brinson town, Georgia",Brinson,town,GA,Georgia,30.97685319999999,-84.7376974,Decatur County
66,"Bronwood town, Georgia",Bronwood,town,GA,Georgia,31.8310001,-84.364358,Terrell County
67,"Brookhaven city, Georgia",Brookhaven,city,GA,Georgia,33.8650186,-84.33712659999999,DeKalb County
68,"Brooklet city, Georgia",Brooklet,city,GA,Georgia,32.37962940000001,-81.6631659,Bulloch County
69,"Brooks town, Georgia",Brooks,town,GA,Georgia,33.2909517,-84.45936999999999,Fayette County
70,"Broxton city, Georgia",Broxton,city,GA,Georgia,31.6251911,-82.88681129999999,Coffee County
71,"Brunswick city, Georgia",Brunswick,city,GA,Georgia,31.1499528,-81.49148939999999,Glynn County
72,"Buchanan city, Georgia",Buchanan,city,GA,Georgia,33.8021734,-85.1900624,Haralson County
73,"Buckhead town, Georgia",Buckhead,town,GA,Georgia,33.8372663,-84.406761,Atlanta
74,"Buena Vista city, Georgia",Buena Vista,city,GA,Georgia,32.3190398,-84.51714109999999,Marion County
75,"Buford city, Georgia",Buford,city,GA,Georgia,34.1206564,-84.0043513,Gwinnett County
76,"Butler city, Georgia",Butler,city,GA,Georgia,32.5570898,-84.2382482,Taylor County
77,"Byromville town, Georgia",Byromville,town,GA,Georgia,32.2021071,-83.9085132,Dooly County
78,"Byron city, Georgia",Byron,city,GA,Georgia,32.6537561,-83.7596295,Peach County
79,"Cadwell town, Georgia",Cadwell,town,GA,Georgia,32.339615,-83.04209159999999,Laurens County
80,"Cairo city, Georgia",Cairo,city,GA,Georgia,30.8774132,-84.2012897,Grady County
81,"Calhoun city, Georgia",Calhoun,city,GA,Georgia,34.502587,-84.9510542,Gordon County
82,"Camak town, Georgia",Camak,town,GA,Georgia,33.4534709,-82.6459668,Warren County
83,"Camilla city, Georgia",Camilla,city,GA,Georgia,31.2312933,-84.21046109999999,Mitchell County
84,"Canon city, Georgia",Canon,city,GA,Georgia,34.3462158,-83.1098717,Franklin County
85,"Canton city, Georgia",Canton,city,GA,Georgia,34.2367621,-84.4907621,Cherokee County
86,"Carl town, Georgia",Carl,town,GA,Georgia,34.005663,-83.8112862,Barrow County
87,"Carlton city, Georgia",Carlton,city,GA,Georgia,34.0431675,-83.0337558,Madison County
88,"Carnesville city, Georgia",Carnesville,city,GA,Georgia,34.3698266,-83.23515499999999,Franklin County
89,"Carrollton city, Georgia",Carrollton,city,GA,Georgia,33.5801103,-85.0766113,Carroll County
90,"Cartersville city, Georgia",Cartersville,city,GA,Georgia,34.1650972,-84.7999382,Bartow County
91,"Cave Spring city, Georgia",Cave Spring,city,GA,Georgia,34.1075975,-85.33634339999999,Floyd County
92,"Cecil city, Georgia",Cecil,city,GA,Georgia,31.0455063,-83.3924741,Cook County
93,"Cedartown city, Georgia",Cedartown,city,GA,Georgia,34.0112715,-85.25658229999999,Polk County
94,"Centerville city, Georgia",Centerville,city,GA,Georgia,32.630145,-83.6896285,Houston County
95,"Centralhatchee town, Georgia",Centralhatchee,town,GA,Georgia,33.3690045,-85.103554,Heard County
96,"Chamblee city, Georgia",Chamblee,city,GA,Georgia,33.8920468,-84.29881259999999,DeKalb County
97,"Chatsworth city, Georgia",Chatsworth,city,GA,Georgia,34.7659145,-84.7699385,Murray County
98,"Chattahoochee Hills city, Georgia",Chattahoochee HIlls,city,GA,Georgia,33.5479728,-84.76306819999999,Fulton County
99,"Chauncey city, Georgia",Chauncey,city,GA,Georgia,32.1046197,-83.0645928,Dodge County
100,"Chester town, Georgia",Chester,town,GA,Georgia,32.3937787,-83.15292989999999,Dodge County
101,"Chickamauga city, Georgia",Chickamauga,city,GA,Georgia,34.8711879,-85.2907896,Walker County
102,"Clarkesville city, Georgia",Clarkesville,city,GA,Georgia,34.6125971,-83.5248933,Habersham County
103,"Clarkston city, Georgia",Clarkston,city,GA,Georgia,33.8095487,-84.23964339999999,DeKalb County
104,"Claxton city, Georgia",Claxton,city,GA,Georgia,32.1615814,-81.9040047,Evans County
105,"Clayton city, Georgia",Clayton,city,GA,Georgia,34.8781479,-83.4009933,Rabun County
106,"Clermont town, Georgia",Clermont,town,GA,Georgia,34.4778752,-83.7735148,Hall County
107,"Cleveland city, Georgia",Cleveland,city,GA,Georgia,34.5970402,-83.7632366,White County
108,"Climax city, Georgia",Climax,city,GA,Georgia,30.8760231,-84.4312983,Decatur County
109,"Cobbtown city, Georgia",Cobbtown,city,GA,Georgia,32.2804623,-82.138731,Tattnall County
110,"Cochran city, Georgia",Cochran,city,GA,Georgia,32.3868278,-83.35460979999999,Bleckley County
111,"Cohutta city, Georgia",Cohutta,city,GA,Georgia,34.95952090000001,-84.95272349999999,Whitfield County
112,"Colbert city, Georgia",Colbert,city,GA,Georgia,34.0378903,-83.2126517,Madison County
113,"College Park city, Georgia",College Park,city,GA,Georgia,33.6534427,-84.4493725,Fulton County
114,"Collins city, Georgia",Collins,city,GA,Georgia,32.1813013,-82.1090083,Tattnall County
115,"Colquitt city, Georgia",Colquitt,city,GA,Georgia,31.17129349999999,-84.7332527,Miller County
116,"Columbus city, Georgia",Columbus,city,GA,Georgia,32.4609764,-84.9877094,Muscogee County
117,"Comer city, Georgia",Comer,city,GA,Georgia,34.0637227,-83.1254261,Madison County
118,"Commerce city, Georgia",Commerce,city,GA,Georgia,34.203997,-83.4571057,Jackson County
119,"Concord city, Georgia",Concord,city,GA,Georgia,33.0912359,-84.4374232,Pike County
120,"Conyers city, Georgia",Conyers,city,GA,Georgia,33.6676103,-84.01769039999999,Rockdale County
121,"Coolidge city, Georgia",Coolidge,city,GA,Georgia,31.0112991,-83.86628209999999,Thomas County
122,"Cordele city, Georgia",Cordele,city,GA,Georgia,31.9635074,-83.7823938,Crisp County
123,"Cornelia city, Georgia",Cornelia,city,GA,Georgia,34.5114883,-83.5271166,Habersham County
124,"Covington city, Georgia",Covington,city,GA,Georgia,33.5967815,-83.8601827,Newton County
125,"Crawford city, Georgia",Crawford,city,GA,Georgia,33.8828954,-83.154596,Oglethorpe County
126,"Crawfordville city, Georgia",Crawfordville,city,GA,Georgia,33.5540209,-82.8959785,Taliaferro County
127,"Culloden city, Georgia",Culloden,city,GA,Georgia,32.86319050000001,-84.0938017,Monroe County
128,"Cumming city, Georgia",Cumming,city,GA,Georgia,34.2073196,-84.14019259999999,Forsyth County
129,"Cusseta-Chattahoochee County unified government, Georgia",Cusseta-Chattahoochee County,county,GA,Georgia,32.3061354,-84.77704849999999,Chattahoochee County
130,"Cuthbert city, Georgia",Cuthbert,city,GA,Georgia,31.7712748,-84.7893658,Randolph County
131,"Dacula city, Georgia",Dacula,city,GA,Georgia,33.9887165,-83.8979573,Gwinnett County
132,"Dahlonega city, Georgia",Dahlonega,city,GA,Georgia,34.5261465,-83.9843953,Lumpkin County
133,"Daisy city, Georgia",Daisy,city,GA,Georgia,32.1518609,-81.8345588,Evans County
134,"Dallas city, Georgia",Dallas,city,GA,Georgia,33.9244531,-84.8413056,Paulding County
135,"Dalton city, Georgia",Dalton,city,GA,Georgia,34.7698021,-84.9702228,Whitfield County
136,"Damascus city, Georgia",Damascus,city,GA,Georgia,31.2990682,-84.7188077,Early County
137,"Danielsville city, Georgia",Danielsville,city,GA,Georgia,34.1242771,-83.2212629,Madison County
138,"Danville town, Georgia",Danville,town,GA,Georgia,32.6057103,-83.24543609999999,Twiggs County
139,"Darien city, Georgia",Darien,city,GA,Georgia,31.3702255,-81.43399029999999,McIntosh County
140,"Dasher town, Georgia",Dasher,town,GA,Georgia,30.7474278,-83.220704,Lowndes County
141,"Davisboro city, Georgia",Davisboro,city,GA,Georgia,32.97904250000001,-82.60790949999999,Washington County
142,"Dawson city, Georgia",Dawson,city,GA,Georgia,31.7735001,-84.4465826,Terrell County
143,"Dawsonville city, Georgia",Dawsonville,city,GA,Georgia,34.4212052,-84.1190804,Dawson County
144,"Dearing town, Georgia",Dearing,town,GA,Georgia,33.41319470000001,-82.3851255,McDuffie County
145,"Decatur city, Georgia",Decatur,city,GA,Georgia,33.7748275,-84.2963123,DeKalb County
146,"Deepstep town, Georgia",Deepstep,town,GA,Georgia,33.0182075,-82.96903329999999,Washington County
147,"Demorest city, Georgia",Demorest,city,GA,Georgia,34.565098,-83.5451724,Habersham County
148,"Denton city, Georgia",Denton,city,GA,Georgia,31.7226881,-82.6937513,Jeff Davis County
149,"De Soto city, Georgia",De Soto,city,GA,Georgia,31.9536688,-84.0616709,Sumter County
150,"Dexter town, Georgia",Dexter,town,GA,Georgia,32.4323909,-83.0612596,Laurens County
151,"Dillard city, Georgia",Dillard,city,GA,Georgia,34.9700911,-83.3871006,Rabun County
152,"Doerun city, Georgia",Doerun,city,GA,Georgia,31.3196267,-83.9171221,Colquitt County
153,"Donalsonville city, Georgia",Donalsonville,city,GA,Georgia,31.0404625,-84.87909110000001,Seminole County
154,"Dooling town, Georgia",Dooling,town,GA,Georgia,32.2304391,-83.927959,Dooly County
155,"Doraville city, Georgia",Doraville,city,GA,Georgia,33.8981579,-84.2832564,DeKalb County
156,"Douglas city, Georgia",Douglas,city,GA,Georgia,31.5088073,-82.8498654,Coffee County
157,"Douglasville city, Georgia",Douglasville,city,GA,Georgia,33.7514966,-84.7477136,Douglas County
158,"Dublin city, Georgia",Dublin,city,GA,Georgia,32.5404447,-82.90375399999999,Laurens County
159,"Dudley city, Georgia",Dudley,city,GA,Georgia,32.5423872,-83.07042729999999,Laurens County
160,"Duluth city, Georgia",Duluth,city,GA,Georgia,34.0028786,-84.1446376,Gwinnett County
161,"Dunwoody city, Georgia",Dunwoody,city,GA,Georgia,33.9462125,-84.3346473,DeKalb County
162,"Du Pont town, Georgia",Du Pont,town,GA,Georgia,30.9885419,-82.87153049999999,Clinch County
163,"East Dublin city, Georgia",East Dublin,city,GA,Georgia,32.548222,-82.87180839999999,Laurens County
164,"East Ellijay city, Georgia",East Ellijay,city,GA,Georgia,34.6839746,-84.4727049,Gilmer County
165,"Eastman city, Georgia",Eastman,city,GA,Georgia,32.1976729,-83.1776514,Dodge County
