,OBJECTID,County,County_Full,totpop10,Reg_Comm,Acres,Sq_Miles,Label,State,totpop19,accident_count,allstate,statefarm,country,farm_bureau,nationwide,alfa,american_family,aflac,acceptance,cotton_states,all_companies
0,1,Lanier,Lanier County,10078,Southern Georgia,127874.0,199.80299377,LANIER,GA,10423,4,0,0,0,1,0,0,0,0,0,0,2
1,2,Bryan,Bryan County,30233,Coastal Regional Commission,291269.0,455.10800171,BRYAN,GA,39627,232,0,2,0,0,0,0,0,0,0,0,10
2,3,Appling,Appling County,18236,Heart of Georgia Altamaha,328037.0,512.5579834,APPLING,GA,18386,15,0,1,1,1,0,0,0,0,0,0,12
3,4,Rabun,Rabun County,16276,Georgia Mountains,241186.0,376.85400391,RABUN,GA,17137,12,1,0,0,1,0,0,0,0,0,0,8
4,5,Bleckley,Bleckley County,13063,Heart of Georgia Altamaha,140237.0,219.1210022,BLECKLEY,GA,12873,50,0,1,0,0,0,0,0,0,0,0,4
5,6,Fayette,Fayette County,106567,Atlanta Regional Commission,127543.0,199.28599548,FAYETTE,GA,114421,235,0,4,0,0,0,0,1,0,0,0,10
6,7,Jefferson,Jefferson County,16930,Central Savannah River Area,339141.0,529.90802002,JEFFERSON,GA,15362,37,0,0,1,0,0,0,0,1,0,1,8
7,8,Seminole,Seminole County,8729,Southwest Georgia,164181.0,256.53201294,SEMINOLE,GA,8090,9,0,2,0,1,0,0,0,0,0,0,5
8,9,Camden,Camden County,50513,Coastal Regional Commission,501015.0,782.8369751,CAMDEN,GA,54666,141,0,1,1,1,0,0,0,0,0,0,13
9,10,Glynn,Glynn County,79626,Coastal Regional Commission,375084.0,586.06799316,GLYNN,GA,85292,226,0,2,1,1,0,0,0,0,0,0,19
10,11,Polk,Polk County,41475,Northwest Georgia,199774.0,312.14700317,POLK,GA,42613,84,0,2,0,0,0,1,0,0,0,0,9
11,12,Morgan,Morgan County,17868,Northeast Georgia,226933.0,354.58300781,MORGAN,GA,19276,230,0,1,0,1,0,0,0,0,0,0,6
12,13,Talbot,Talbot County,6865,River Valley,252604.0,394.69400024,TALBOT,GA,6195,23,0,0,0,1,0,0,0,0,0,0,1
13,14,Schley,Schley County,5010,River Valley,107386.0,167.78999329,SCHLEY,GA,5257,2,0,0,0,1,0,0,0,0,0,0,1
14,15,Union,Union County,21356,Georgia Mountains,210522.0,328.94000244,UNION,GA,24511,8,0,1,0,0,1,1,0,0,0,1,6
15,16,Wilcox,Wilcox County,9255,Heart of Georgia Altamaha,244539.0,382.0920105,WILCOX,GA,8635,1,0,0,0,0,0,0,0,0,0,0,2
16,17,Ware,Ware County,36312,Southern Georgia,581392.0,908.42498779,WARE,GA,35734,24,1,2,3,1,1,0,0,0,1,0,21
17,18,Clarke,Clarke County,116714,Northeast Georgia,77457.203125,121.02700043,CLARKE,GA,128331,116,0,1,1,1,0,0,0,0,0,0,26
18,19,Jones,Jones County,28669,Middle Georgia,253036.0,395.36801147,JONES,GA,28735,29,0,1,0,0,0,0,0,0,0,1,2
19,20,Carroll,Carroll County,110527,Three Rivers,322447.0,503.82400513,CARROLL,GA,119992,561,3,4,1,0,1,0,0,1,1,0,20
20,21,Rockdale,Rockdale County,85215,Atlanta Regional Commission,84525.703125,132.07099915,ROCKDALE,GA,90896,375,3,1,0,1,0,0,1,0,0,0,11
21,22,Dade,Dade County,16633,Northwest Georgia,111481.0,174.18899536,DADE,GA,16116,146,0,1,0,0,0,0,0,0,0,0,1
22,23,Murray,Murray County,39628,Northwest Georgia,221860.0,346.65701294,MURRAY,GA,40096,33,0,0,0,0,1,0,0,0,0,0,2
23,24,Cobb,Cobb County,688078,Atlanta Regional Commission,220455.0,344.45999146,COBB,GA,760141,6708,3,1,0,0,0,0,1,1,1,0,31
24,25,Columbia,Columbia County,124053,Central Savannah River Area,196979.0,307.7789917,COLUMBIA,GA,156714,579,3,3,1,1,0,0,1,0,0,0,18
25,26,Forsyth,Forsyth County,175511,Georgia Mountains,158154.0,247.11599731,FORSYTH,GA,244252,288,0,2,0,0,0,0,0,1,0,0,6
26,27,Baldwin,Baldwin County,45720,Middle Georgia,171139.0,267.40499878,BALDWIN,GA,44890,85,2,2,0,0,0,1,0,2,1,0,17
27,28,Walker,Walker County,68756,Northwest Georgia,286115.0,447.0539856,WALKER,GA,69761,49,0,1,0,0,0,0,0,0,0,0,5
28,29,Emanuel,Emanuel County,22598,Heart of Georgia Altamaha,441961.0,690.56500244,EMANUEL,GA,22646,56,0,1,0,0,0,0,0,0,0,0,7
29,30,Gilmer,Gilmer County,28292,Northwest Georgia,275947.0,431.16699219,GILMER,GA,31369,92,0,2,0,1,0,0,0,0,0,0,7
30,31,Warren,Warren County,5834,Central Savannah River Area,183530.0,286.76599121,WARREN,GA,5254,104,0,0,0,0,0,0,0,1,0,0,4
