agency_name,agency_status,agency_address,agency_latitude,agency_longitude,latlng,city,GA_state,county
Roger Gilbert - Prudential Financial,OPERATIONAL,"180 East Dykes Street, Cochran",32.3889322,-83.35196,"32.3889322,-83.35195999999998",Cochran,Georgia,Bleckley County
Rutherford Insurance,OPERATIONAL,"401 North Grant Street, Fitzgerald",31.7186101,-83.25275,"31.718610100000003,-83.25274999999998",Fitzgerald,Georgia,Ben Hill County
Global-Net Insurance,OPERATIONAL,"5305 Anson Avenue, Eastman",32.2000259,-83.1762139,"32.20002589999999,-83.17621390000001",Eastman,Georgia,Dodge County
Derek Hutcheson - State Farm Insurance Agent,OPERATIONAL,"401 Main Street, Eastman",32.1959994,-83.174382,"32.1959994,-83.174382",Eastman,Georgia,Dodge County
Nationwide Insurance: Steve Allen Martin,OPERATIONAL,"207 South Grant Street, Fitzgerald",31.7132719,-83.2530731,"31.7132719,-83.2530731",Fitzgerald,Georgia,Ben Hill County
Walt Gordon - State Farm Insurance Agent,OPERATIONAL,"127 South Main Street, Fitzgerald",31.7137099,-83.2546525,"31.71370989999999,-83.2546525",Fitzgerald,Georgia,Ben Hill County
Whidden Insurance,OPERATIONAL,"105 Ocilla Highway, Fitzgerald",31.7053411,-83.2527701,"31.705341100000002,-83.25277009999998",Fitzgerald,Georgia,Ben Hill County
Taylor Towson & Braddy Insurance,OPERATIONAL,"409 South Grant Street, Fitzgerald",31.710649,-83.253246,"31.710649,-83.25324599999999",Fitzgerald,Georgia,Ben Hill County
The Jill Johnson Agency,OPERATIONAL,"1500 College Street, Eastman",32.1801659,-83.1659171,"32.1801659,-83.1659171",Eastman,Georgia,Dodge County
Charles Robinson Insurance,OPERATIONAL,"5221 4th Avenue, Eastman",32.1984766,-83.1752944,"32.1984766,-83.1752944",Eastman,Georgia,Dodge County
Southern Marketing,OPERATIONAL,"502 South Main Street, Fitzgerald",31.7100621,-83.2539988,"31.710062100000005,-83.25399879999998",Fitzgerald,Georgia,Ben Hill County
Farmers Insurance - Alecia McKinley,OPERATIONAL,"106 7th Avenue East, Pitts",31.9445605,-83.5398119,"31.944560499999998,-83.53981189999998",Pitts,Georgia,Wilcox County
Mike Newman - State Farm Insurance Agent,OPERATIONAL,"118 Commerce Street, Hawkinsville",32.2836012,-83.4679557,"32.2836012,-83.46795569999998",Hawkinsville,Georgia,Pulaski County
New York Life,OPERATIONAL,"1149 West Roanoke Drive, Fitzgerald",31.706129,-83.288571,"31.706128999999997,-83.28857099999998",Fitzgerald,Georgia,Ben Hill County
Cowan Insurance,OPERATIONAL,"107 South Main Street, Fitzgerald",31.7144024,-83.2547156,"31.714402399999997,-83.25471560000003",Fitzgerald,Georgia,Ben Hill County
Daniel Cowan - COUNTRY Financial representative,OPERATIONAL,"107 South Main Street, Fitzgerald",31.7144141,-83.2547197,"31.7144141,-83.25471970000001",Fitzgerald,Georgia,Ben Hill County
Alco Insurance Agency - Allstate,OPERATIONAL,"Commerce Street, Hawkinsville",32.2833958,-83.4647079,"32.2833958,-83.46470790000001",Hawkinsville,Georgia,Pulaski County
Embark Insurance Group,OPERATIONAL,"152 Commerce Street, Hawkinsville",32.2837871,-83.4709807,"32.283787100000005,-83.4709807",Hawkinsville,Georgia,Pulaski County
Allstate Personal Financial Representative: Douglas Perkins,OPERATIONAL,"462 Old Prison Camp Road, McRae-Helena",31.9774549,-82.9267111,"31.9774549,-82.92671109999998",McRae-Helena,Georgia,Telfair County
Taylor Towson Agency,OPERATIONAL,"207 South Cherry Street, Ocilla",31.5927604,-83.2495397,"31.5927604,-83.2495397",Ocilla,Georgia,Irwin County
Georgia Farm Bureau,OPERATIONAL,"495 Lax Highway, Ocilla",31.5850067,-83.2380465,"31.58500669999999,-83.2380465",Ocilla,Georgia,Irwin County
Unum,OPERATIONAL,"6 Concourse Parkway #2700, Atlanta",33.917066,-84.3558511,"33.91706599999999,-84.3558511",Sandy Springs,Georgia,Fulton County
Ralston Charles: Allstate Insurance,OPERATIONAL,"1784 Powder Springs Road Southwest, Marietta",33.9026068,-84.6058,"33.90260680000001,-84.6058",Marietta,Georgia,Cobb County
Sun Life Financial,OPERATIONAL,"1100 Abernathy Road Northeast # 550, Atlanta",33.9343762,-84.3523975,"33.93437619999999,-84.3523975",Atlanta,Georgia,Fulton County
"Sterling Seacrest Partners, Inc.",OPERATIONAL,"2500 Cumberland Parkway Southeast, Atlanta",33.8675983,-84.4760795,"33.8675983,-84.4760795",Atlanta,Georgia,Cobb County
"Insurance Sales Principles, Inc.",OPERATIONAL,"1500 Parkwood Circle Southeast, Atlanta",33.8995327,-84.4604592,"33.8995327,-84.4604592",Atlanta,Georgia,Cobb County
Morgan Keegan: Iglar Lenard,OPERATIONAL,"1100 Abernathy Road Northeast # 1850, Atlanta",33.9343762,-84.3523975,"33.93437619999999,-84.3523975",Atlanta,Georgia,Fulton County
Mutual of America,OPERATIONAL,"5 Concourse Parkway # 1275, Atlanta",33.916903,-84.354615,"33.916903000000005,-84.354615",Atlanta,Georgia,Fulton County
First American Title Insurance Company - National Commercial Services,OPERATIONAL,"3455 Peachtree Road Northeast Suite 675, Atlanta",33.8501888,-84.360202,"33.8501888,-84.360202",Atlanta,Georgia,Fulton County
American Re-Insurance,OPERATIONAL,"3525 Piedmont Road Northeast, Atlanta",33.8512051,-84.3771118,"33.8512051,-84.37711180000001",Atlanta,Georgia,Fulton County
AAA East Cobb Car Care Plus,OPERATIONAL,"1197 Johnson Ferry Road Ste 100, Marietta",33.9774933,-84.4173076,"33.9774933,-84.41730759999999",Marietta,Georgia,Cobb County
PMA Insurance Group,OPERATIONAL,"1100 Abernathy Road Northeast # 650, Atlanta",33.9343762,-84.3523975,"33.93437619999999,-84.3523975",Atlanta,Georgia,Fulton County
Lawyers Title,OPERATIONAL,"6 Concourse Parkway, Atlanta",33.9170982,-84.3558686,"33.917098200000005,-84.3558686",Sandy Springs,Georgia,Fulton County
Fresenius Medical Care at Select Specialty-Atlanta,OPERATIONAL,"550 West Peachtree Street Northwest, Atlanta",33.7684944,-84.3860605,"33.768494399999994,-84.3860605",Atlanta,Georgia,Fulton County
"Hart Capital, LLLP",OPERATIONAL,"2625 Piedmont Road Northeast, Atlanta",33.8274164,-84.3652143,"33.82741639999999,-84.36521429999998",Atlanta,Georgia,Fulton County
Steve Paige - State Farm Insurance Agent,OPERATIONAL,"8525 Dunwoody Place bldg 14, Sandy Springs",33.9873975,-84.3403456,"33.9873975,-84.34034559999998",Sandy Springs,Georgia,Fulton County
Gregory Greenfield & Associates Ltd,OPERATIONAL,"5775 Peachtree Dunwoody Road, Atlanta",33.9116643,-84.3504921,"33.9116643,-84.35049210000003",Sandy Springs,Georgia,Fulton County
Ubs Holdings LLC,OPERATIONAL,"1197 Peachtree Street Northeast, Atlanta",33.7869047,-84.3826649,"33.7869047,-84.38266490000001",Atlanta,Georgia,Fulton County
"Financial Benefits, Inc",OPERATIONAL,"1201 Peachtree St, 400 Colony Square #1730, Atlanta",33.8873955,-84.4678804,"33.887395500000004,-84.46788040000001",Atlanta,Georgia,Cobb County
Allstate Personal Financial Representative: Joseph Carbone,OPERATIONAL,"3750 Palladian Village Drive Apt 21, Marietta",34.0411948,-84.4765355,"34.0411948,-84.4765355",Marietta,Georgia,Cobb County
"T. J. O'Brien & Associates, Inc. - A Member Firm of The Plus Group",OPERATIONAL,"1899 Powers Ferry Road # 232, Atlanta",33.907814,-84.464341,"33.90781399999999,-84.46434099999998",Atlanta,Georgia,Cobb County
