,agency_name,agency_status,agency_address,agency_latitude,agency_longitude
0,Acceptance Insurance,OPERATIONAL,"3000 Dunn Avenue Suite 68A, Jacksonville",30.43761869999999,-81.7005653
1,Phenix Supply Co,OPERATIONAL,"11705 Industry Drive, Jacksonville",30.449305,-81.62589400000002
2,Insurance Auto Auctions,OPERATIONAL,"14492 New Kings Road, Jacksonville",30.49637439999999,-81.7892703
3,Florida State College of Jacksonville: Insurance & Real Estate,OPERATIONAL,"3939 Roosevelt Boulevard, Jacksonville",30.300482399999996,-81.7190443
4,Gary Anderson - State Farm Insurance Agent,OPERATIONAL,"450111 State Road 200, Callahan",30.56891599999999,-81.8259006
5,Brian Huling - State Farm Insurance Agent,OPERATIONAL,"4197 2nd Street North, Folkston",30.8324109,-82.00658729999998
6,Chuck Satterwhite - State Farm Insurance Agent,OPERATIONAL,"521 South 6th Street, Macclenny",30.276079100000004,-82.12200920000001
7,Baker Title & Escrow Co Inc,OPERATIONAL,"553 East Macclenny Avenue, Macclenny",30.2838174,-82.11526140000001
8,Axiom Insurance Agency,OPERATIONAL,"212 West Main Street, Folkston",30.831127600000002,-82.00891299999998
9,Rochester Debra,OPERATIONAL,"542560 U.S. 1, Callahan",30.568502000000002,-81.834397
10,Schwend Earl,OPERATIONAL,"542432 US Highway 1, Callahan",30.5071022,-81.878795
11,Kingsman Financial Services,OPERATIONAL,"6387 Church Avenue East, Bryceville",30.3848207,-81.93941939999998
12,Tri-City Insurance,OPERATIONAL,"4275 2nd Street North, Folkston",30.833499,-82.0068854
13,Mizell Insurance Agency,OPERATIONAL,"11893 New Kings Road, Jacksonville",30.4503812,-81.76879989999998
14,A+ Auto Insurance,OPERATIONAL,"787 South 6th Street, Macclenny",30.2715197,-82.12192009999998
15,Modern Woodmen,OPERATIONAL,Macclenny,30.2822653,-82.12192999999998
16,Baker County Farm Bureau,OPERATIONAL,"539 South 6th Street, Macclenny",30.27554099999999,-82.12204299999998
17,Farm Bureau Insurance,OPERATIONAL,"539 South 6th Street, Macclenny",30.27554099999999,-82.1220429
18,Sinclair Trey,OPERATIONAL,"1161A South 6th Street, Macclenny",30.26727299999999,-82.121903
19,Modern Woodmen of America,OPERATIONAL,"121 North Lee Street suite c, Kingsland",30.800489199999998,-81.69011009999998
20,Horace Mann Insurance Co,OPERATIONAL,"103 Sago Palm Drive, Kingsland",30.800448,-81.65140600000001
21,Tara J Smith: Allstate Insurance,OPERATIONAL,"2915 Unit 603, Kerry Forest Parkway, Tallahassee",30.540195,-84.22631190000001
22,Vicki Catsimpiris - State Farm Insurance Agent,OPERATIONAL,"3360 Capital Circle Northeast Ste B, Tallahassee",30.497961600000004,-84.2472653
23,Aflac,OPERATIONAL,"1344 Vickers Road, Tallahassee",30.48706250000001,-84.31216359999998
24,Florida Healthy Kids + Florida KidCare,OPERATIONAL,"1203 Governors Square Boulevard #400, Tallahassee",30.4394516,-84.2638472
