,agency_name,agency_status,agency_address,agency_latitude,agency_longitude
0,Roger Gilbert - Prudential Financial,OPERATIONAL,"180 East Dykes Street, Cochran",32.3889322,-83.35195999999999
1,Rutherford Insurance,OPERATIONAL,"401 North Grant Street, Fitzgerald",31.7186101,-83.25274999999999
2,Global-Net Insurance,OPERATIONAL,"5305 Anson Avenue, Eastman",32.2000259,-83.1762139
3,Derek Hutcheson - State Farm Insurance Agent,OPERATIONAL,"401 Main Street, Eastman",32.1959994,-83.174382
4,Nationwide Insurance: Steve Allen Martin,OPERATIONAL,"207 South Grant Street, Fitzgerald",31.7132719,-83.2530731
5,Walt Gordon - State Farm Insurance Agent,OPERATIONAL,"127 South Main Street, Fitzgerald",31.71370989999999,-83.2546525
6,Whidden Insurance,OPERATIONAL,"105 Ocilla Highway, Fitzgerald",31.7053411,-83.25277009999999
7,Taylor Towson & Braddy Insurance,OPERATIONAL,"409 South Grant Street, Fitzgerald",31.710649,-83.253246
8,The Jill Johnson Agency,OPERATIONAL,"1500 College Street, Eastman",32.1801659,-83.1659171
9,Charles Robinson Insurance,OPERATIONAL,"5221 4th Avenue, Eastman",32.1984766,-83.1752944
10,Southern Marketing,OPERATIONAL,"502 South Main Street, Fitzgerald",31.7100621,-83.25399879999999
11,Farmers Insurance - Alecia McKinley,OPERATIONAL,"106 7th Avenue East, Pitts",31.9445605,-83.53981189999999
12,Mike Newman - State Farm Insurance Agent,OPERATIONAL,"118 Commerce Street, Hawkinsville",32.2836012,-83.46795569999999
13,New York Life,OPERATIONAL,"1149 West Roanoke Drive, Fitzgerald",31.706129,-83.28857099999999
14,Cowan Insurance,OPERATIONAL,"107 South Main Street, Fitzgerald",31.7144024,-83.25471560000001
15,Daniel Cowan - COUNTRY Financial representative,OPERATIONAL,"107 South Main Street, Fitzgerald",31.7144141,-83.2547197
16,Alco Insurance Agency - Allstate,OPERATIONAL,"Commerce Street, Hawkinsville",32.2833958,-83.4647079
17,Embark Insurance Group,OPERATIONAL,"152 Commerce Street, Hawkinsville",32.2837871,-83.4709807
18,Allstate Personal Financial Representative: Douglas Perkins,OPERATIONAL,"462 Old Prison Camp Road, McRae-Helena",31.9774549,-82.92671109999999
19,Taylor Towson Agency,OPERATIONAL,"207 South Cherry Street, Ocilla",31.5927604,-83.2495397
38,Georgia Farm Bureau,OPERATIONAL,"495 Lax Highway, Ocilla",31.58500669999999,-83.2380465
57,Unum,OPERATIONAL,"6 Concourse Parkway #2700, Atlanta",33.91706599999999,-84.3558511
58,Ralston Charles: Allstate Insurance,OPERATIONAL,"1784 Powder Springs Road Southwest, Marietta",33.90260680000001,-84.6058
59,Sun Life Financial,OPERATIONAL,"1100 Abernathy Road Northeast # 550, Atlanta",33.93437619999999,-84.3523975
60,"Sterling Seacrest Partners, Inc.",OPERATIONAL,"2500 Cumberland Parkway Southeast, Atlanta",33.8675983,-84.4760795
61,"Insurance Sales Principles, Inc.",OPERATIONAL,"1500 Parkwood Circle Southeast, Atlanta",33.8995327,-84.4604592
62,Morgan Keegan: Iglar Lenard,OPERATIONAL,"1100 Abernathy Road Northeast # 1850, Atlanta",33.93437619999999,-84.3523975
63,Mutual of America,OPERATIONAL,"5 Concourse Parkway # 1275, Atlanta",33.916903,-84.354615
64,First American Title Insurance Company - National Commercial Services,OPERATIONAL,"3455 Peachtree Road Northeast Suite 675, Atlanta",33.8501888,-84.360202
65,American Re-Insurance,OPERATIONAL,"3525 Piedmont Road Northeast, Atlanta",33.8512051,-84.3771118
66,AAA East Cobb Car Care Plus,OPERATIONAL,"1197 Johnson Ferry Road Ste 100, Marietta",33.9774933,-84.4173076
67,PMA Insurance Group,OPERATIONAL,"1100 Abernathy Road Northeast # 650, Atlanta",33.93437619999999,-84.3523975
68,Lawyers Title,OPERATIONAL,"6 Concourse Parkway, Atlanta",33.9170982,-84.3558686
69,Fresenius Medical Care at Select Specialty-Atlanta,OPERATIONAL,"550 West Peachtree Street Northwest, Atlanta",33.7684944,-84.3860605
70,"Hart Capital, LLLP",OPERATIONAL,"2625 Piedmont Road Northeast, Atlanta",33.82741639999999,-84.36521429999999
71,Steve Paige - State Farm Insurance Agent,OPERATIONAL,"8525 Dunwoody Place bldg 14, Sandy Springs",33.9873975,-84.34034559999999
72,Gregory Greenfield & Associates Ltd,OPERATIONAL,"5775 Peachtree Dunwoody Road, Atlanta",33.9116643,-84.35049210000001
73,Ubs Holdings LLC,OPERATIONAL,"1197 Peachtree Street Northeast, Atlanta",33.7869047,-84.3826649
74,"Financial Benefits, Inc",OPERATIONAL,"1201 Peachtree St, 400 Colony Square #1730, Atlanta",33.8873955,-84.46788040000001
75,Allstate Personal Financial Representative: Joseph Carbone,OPERATIONAL,"3750 Palladian Village Drive Apt 21, Marietta",34.0411948,-84.4765355
76,"T. J. O'Brien & Associates, Inc. - A Member Firm of The Plus Group",OPERATIONAL,"1899 Powers Ferry Road # 232, Atlanta",33.90781399999999,-84.46434099999999
95,Integrity Medicare Solutions,OPERATIONAL,"270 Cobb Parkway Southeast, Marietta",33.9452971,-84.51935160000001
114,Aflac,OPERATIONAL,"107 Redmond Road, Rome",34.2779269,-85.18604069999999
115,Aflac,OPERATIONAL,"107 Postelle Street, Cartersville",34.166364,-84.7991763
116,White Insurance Metro Atlanta,OPERATIONAL,"3104 Creekside Village Drive Northwest Suite 101, Kennesaw",34.03219360000001,-84.6557759
117,Farmers Insurance- The Hathaway Agency,OPERATIONAL,"3905 Jiles Road, Kennesaw",34.049011,-84.619939
118,Unum,OPERATIONAL,"415 Smith Road, LaFayette",34.6241932,-85.1381509
119,Triumph Advisors,OPERATIONAL,"2230 Towne Lake Parkway, Woodstock",34.110072,-84.55255199999999
120,Acceptance Insurance,OPERATIONAL,"960 North Tennessee Street, Cartersville",34.1875931,-84.7961448
121,Aflac,OPERATIONAL,"507 South Thornton Avenue, Dalton",34.76663999999999,-84.9712132
122,Aflac,OPERATIONAL,"714 South Thornton Avenue # D, Dalton",34.7621158,-84.9718834
123,Meadowbrook Insurance LLC,OPERATIONAL,"300 Parkbrooke Place, Woodstock",34.1100721,-84.5600539
124,Wayne White Insurance Agency,OPERATIONAL,"127 Kenmorland Circle, Calhoun",34.47775219999999,-84.93101159999999
125,Healthtrust Financial Network,OPERATIONAL,"85 Golf Crest Drive # 205, Acworth",34.0503081,-84.75984199999999
126,Grover Lunsford - State Farm Insurance Agent,OPERATIONAL,"972 Rome Road Southwest, Calhoun",34.47001499999999,-84.9732222
127,Georgia Farm Bureau,OPERATIONAL,"487 West Belmont Drive, Calhoun",34.481686,-84.946225
128,Aetna- Authorized Agent,OPERATIONAL,"4463 Towne Lake Parkway #100, Woodstock",34.126731,-84.57226299999999
129,Rutledge Agency,OPERATIONAL,"5508 Corn Mill Lane, Powder Springs",33.97110869999999,-84.7139065
130,Abbey Insurance,OPERATIONAL,"3950 Cobb Parkway Northwest # 105, Acworth",34.05164180000001,-84.701106
