,agency_name,agency_status,agency_address,agency_latitude,agency_longitude,latlng,city,GA_state,county,agency_simple
0,Roger Gilbert - Prudential Financial,OPERATIONAL,"180 East Dykes Street, Cochran",32.3889322,-83.35195999999999,"32.3889322,-83.35195999999998",Cochran,Georgia,Bleckley County,Roger Gilbert - Prudential Financial
1,Rutherford Insurance,OPERATIONAL,"401 North Grant Street, Fitzgerald",31.718610100000003,-83.25275,"31.718610100000003,-83.25274999999998",Fitzgerald,Georgia,Ben Hill County,Rutherford Insurance
2,Global-Net Insurance,OPERATIONAL,"5305 Anson Avenue, Eastman",32.20002589999999,-83.17621390000001,"32.20002589999999,-83.17621390000001",Eastman,Georgia,Dodge County,Global-Net Insurance
3,Derek Hutcheson - State Farm Insurance Agent,OPERATIONAL,"401 Main Street, Eastman",32.1959994,-83.174382,"32.1959994,-83.174382",Eastman,Georgia,Dodge County,Statefarm
4,Nationwide Insurance: Steve Allen Martin,OPERATIONAL,"207 South Grant Street, Fitzgerald",31.7132719,-83.2530731,"31.7132719,-83.2530731",Fitzgerald,Georgia,Ben Hill County,Nationwide
5,Walt Gordon - State Farm Insurance Agent,OPERATIONAL,"127 South Main Street, Fitzgerald",31.713709899999998,-83.2546525,"31.71370989999999,-83.2546525",Fitzgerald,Georgia,Ben Hill County,Statefarm
6,Whidden Insurance,OPERATIONAL,"105 Ocilla Highway, Fitzgerald",31.705341100000002,-83.25277009999999,"31.705341100000002,-83.25277009999998",Fitzgerald,Georgia,Ben Hill County,Whidden Insurance
7,Taylor Towson & Braddy Insurance,OPERATIONAL,"409 South Grant Street, Fitzgerald",31.710649,-83.25324599999999,"31.710649,-83.25324599999999",Fitzgerald,Georgia,Ben Hill County,Taylor Towson & Braddy Insurance
8,The Jill Johnson Agency,OPERATIONAL,"1500 College Street, Eastman",32.1801659,-83.1659171,"32.1801659,-83.1659171",Eastman,Georgia,Dodge County,The Jill Johnson Agency
9,Charles Robinson Insurance,OPERATIONAL,"5221 4th Avenue, Eastman",32.1984766,-83.1752944,"32.1984766,-83.1752944",Eastman,Georgia,Dodge County,Charles Robinson Insurance
10,Southern Marketing,OPERATIONAL,"502 South Main Street, Fitzgerald",31.710062100000005,-83.2539988,"31.710062100000005,-83.25399879999998",Fitzgerald,Georgia,Ben Hill County,Southern Marketing
11,Farmers Insurance - Alecia McKinley,OPERATIONAL,"106 7th Avenue East, Pitts",31.944560499999998,-83.5398119,"31.944560499999998,-83.53981189999998",Pitts,Georgia,Wilcox County,Farmers Insurance - Alecia McKinley
12,Mike Newman - State Farm Insurance Agent,OPERATIONAL,"118 Commerce Street, Hawkinsville",32.2836012,-83.4679557,"32.2836012,-83.46795569999998",Hawkinsville,Georgia,Pulaski County,Statefarm
13,Cowan Insurance,OPERATIONAL,"107 South Main Street, Fitzgerald",31.714402399999997,-83.2547156,"31.714402399999997,-83.25471560000003",Fitzgerald,Georgia,Ben Hill County,Cowan Insurance
14,Daniel Cowan - COUNTRY Financial representative,OPERATIONAL,"107 South Main Street, Fitzgerald",31.7144141,-83.25471970000001,"31.7144141,-83.25471970000001",Fitzgerald,Georgia,Ben Hill County,Country
15,Alco Insurance Agency - Allstate,OPERATIONAL,"Commerce Street, Hawkinsville",32.2833958,-83.46470790000001,"32.2833958,-83.46470790000001",Hawkinsville,Georgia,Pulaski County,Allstate
16,Embark Insurance Group,OPERATIONAL,"152 Commerce Street, Hawkinsville",32.283787100000005,-83.4709807,"32.283787100000005,-83.4709807",Hawkinsville,Georgia,Pulaski County,Embark Insurance Group
17,Allstate Personal Financial Representative: Douglas Perkins,OPERATIONAL,"462 Old Prison Camp Road, McRae-Helena",31.9774549,-82.92671109999999,"31.9774549,-82.92671109999998",McRae-Helena,Georgia,Telfair County,Allstate
18,Taylor Towson Agency,OPERATIONAL,"207 South Cherry Street, Ocilla",31.5927604,-83.2495397,"31.5927604,-83.2495397",Ocilla,Georgia,Irwin County,Taylor Towson Agency
19,Georgia Farm Bureau,OPERATIONAL,"495 Lax Highway, Ocilla",31.585006699999997,-83.2380465,"31.58500669999999,-83.2380465",Ocilla,Georgia,Irwin County,Farm Bureau
20,Unum,OPERATIONAL,"6 Concourse Parkway #2700, Atlanta",33.917066,-84.3558511,"33.91706599999999,-84.3558511",Sandy Springs,Georgia,Fulton County,Unum
21,Ralston Charles: Allstate Insurance,OPERATIONAL,"1784 Powder Springs Road Southwest, Marietta",33.902606799999994,-84.6058,"33.90260680000001,-84.6058",Marietta,Georgia,Cobb County,Allstate
22,Sun Life Financial,OPERATIONAL,"1100 Abernathy Road Northeast # 550, Atlanta",33.9343762,-84.3523975,"33.93437619999999,-84.3523975",Atlanta,Georgia,Fulton County,Sun Life Financial
23,"Sterling Seacrest Partners, Inc.",OPERATIONAL,"2500 Cumberland Parkway Southeast, Atlanta",33.8675983,-84.4760795,"33.8675983,-84.4760795",Atlanta,Georgia,Cobb County,"Sterling Seacrest Partners, Inc."
24,"Insurance Sales Principles, Inc.",OPERATIONAL,"1500 Parkwood Circle Southeast, Atlanta",33.8995327,-84.4604592,"33.8995327,-84.4604592",Atlanta,Georgia,Cobb County,"Insurance Sales Principles, Inc."
25,Morgan Keegan: Iglar Lenard,OPERATIONAL,"1100 Abernathy Road Northeast # 1850, Atlanta",33.9343762,-84.3523975,"33.93437619999999,-84.3523975",Atlanta,Georgia,Fulton County,Morgan Keegan: Iglar Lenard
26,Mutual of America,OPERATIONAL,"5 Concourse Parkway # 1275, Atlanta",33.916903000000005,-84.354615,"33.916903000000005,-84.354615",Atlanta,Georgia,Fulton County,Mutual of America
27,First American Title Insurance Company - National Commercial Services,OPERATIONAL,"3455 Peachtree Road Northeast Suite 675, Atlanta",33.8501888,-84.360202,"33.8501888,-84.360202",Atlanta,Georgia,Fulton County,First American Title Insurance Company - National Commercial Services
28,American Re-Insurance,OPERATIONAL,"3525 Piedmont Road Northeast, Atlanta",33.8512051,-84.37711180000001,"33.8512051,-84.37711180000001",Atlanta,Georgia,Fulton County,American Re-Insurance
29,AAA East Cobb Car Care Plus,OPERATIONAL,"1197 Johnson Ferry Road Ste 100, Marietta",33.9774933,-84.41730759999999,"33.9774933,-84.41730759999999",Marietta,Georgia,Cobb County,AAA East Cobb Car Care Plus
30,PMA Insurance Group,OPERATIONAL,"1100 Abernathy Road Northeast # 650, Atlanta",33.9343762,-84.3523975,"33.93437619999999,-84.3523975",Atlanta,Georgia,Fulton County,PMA Insurance Group
31,Lawyers Title,OPERATIONAL,"6 Concourse Parkway, Atlanta",33.917098200000005,-84.3558686,"33.917098200000005,-84.3558686",Sandy Springs,Georgia,Fulton County,Lawyers Title
