,county,allstate,statefarm,country,farm_bureau,nationwide,alfa,american_family,aflac,acceptance,cotton_states,all_companies
0,Appling County,0,1,1,1,0,0,0,0,0,0,12
1,Atkinson County,0,0,0,0,0,0,0,0,0,0,1
2,Bacon County,0,1,0,0,0,0,0,0,0,1,6
3,Baker County,0,0,0,0,0,0,0,0,0,0,0
4,Baldwin County,2,2,0,0,0,1,0,2,1,0,17
5,Banks County,0,0,0,0,0,0,0,0,0,0,2
6,Barrow County,0,0,0,0,0,0,0,0,0,0,3
7,Bartow County,3,2,0,0,0,1,0,2,1,0,11
8,Ben Hill County,0,1,1,0,2,0,0,0,0,0,10
9,Berrien County,0,0,0,0,0,0,0,0,0,0,5
10,Bibb County,0,3,0,1,0,2,0,4,0,0,30
11,Bleckley County,0,1,0,0,0,0,0,0,0,0,4
12,Brantley County,0,0,1,1,0,0,0,0,0,0,2
13,Brooks County,0,1,0,0,0,0,0,0,0,0,2
14,Bryan County,0,2,0,0,0,0,0,0,0,0,10
15,Bulloch County,2,4,0,1,0,0,0,0,1,0,28
16,Burke County,0,0,1,1,0,0,0,0,0,0,9
17,Butts County,1,0,0,0,0,0,0,0,0,0,3
18,Calhoun County,0,0,0,2,0,0,0,0,0,0,3
19,Camden County,0,1,1,1,0,0,0,0,0,0,13
20,Candler County,0,0,0,0,0,0,0,0,0,0,9
21,Carroll County,3,4,1,0,1,0,0,1,1,0,20
22,Catoosa County,0,0,0,0,0,0,0,0,0,0,0
23,Charlton County,0,1,0,0,0,0,0,0,0,0,3
24,Chatham County,1,8,1,0,1,0,0,3,0,0,49
25,Chattahoochee County,0,0,0,0,0,0,0,0,0,0,1
26,Chattooga County,0,1,0,0,0,0,0,0,0,0,5
27,Cherokee County,1,2,0,0,1,0,0,0,0,0,10
28,Clarke County,0,1,1,1,0,0,0,0,0,0,26
29,Clay County,0,0,0,0,0,0,0,0,0,0,0
30,Clayton County,0,3,0,0,0,0,1,0,1,0,9
31,Clinch County,0,0,0,1,1,0,0,0,0,0,6
32,Cobb County,3,1,0,0,0,0,1,1,1,0,31
33,Coffee County,2,0,1,1,1,0,0,0,1,0,20
34,Colquitt County,0,1,1,1,0,0,0,0,0,0,15
35,Columbia County,3,3,1,1,0,0,1,0,0,0,18
36,Cook County,0,1,0,0,0,0,0,0,0,0,6
37,Coweta County,1,4,0,0,0,0,0,2,1,0,19
38,Crawford County,0,0,0,0,0,0,0,0,0,0,0
39,Crisp County,0,1,3,0,1,0,0,0,0,0,15
40,Dade County,0,1,0,0,0,0,0,0,0,0,1
41,Dawson County,0,0,1,0,0,0,0,1,0,0,2
42,Decatur County,0,2,1,1,0,0,0,0,0,0,16
43,DeKalb County,0,1,0,0,1,0,0,0,0,0,9
44,Dodge County,0,1,0,1,0,0,0,0,0,0,8
45,Dooly County,1,0,1,0,0,0,0,0,0,0,7
46,Dougherty County,4,3,0,0,0,1,0,2,0,0,32
47,Douglas County,0,1,0,1,0,0,0,0,0,0,7
48,Early County,0,1,0,0,0,0,0,0,0,0,6
49,Echols County,0,0,0,0,0,0,0,0,0,0,0
50,Effingham County,1,1,0,0,0,0,0,0,0,0,3
51,Elbert County,0,1,0,1,0,0,0,0,0,0,8
52,Emanuel County,0,1,0,0,0,0,0,0,0,0,7
53,Evans County,0,1,0,1,0,0,0,0,0,0,5
54,Fannin County,0,1,0,1,0,1,0,0,0,0,9
55,Fayette County,0,4,0,0,0,0,1,0,0,0,10
56,Floyd County,2,4,1,0,1,2,1,1,0,0,20
57,Forsyth County,0,2,0,0,0,0,0,1,0,0,6
58,Franklin County,0,1,0,1,0,0,0,0,0,0,5
59,Fulton County,6,2,0,1,2,1,1,0,2,1,101
60,Gilmer County,0,2,0,1,0,0,0,0,0,0,7
61,Glascock County,0,0,0,2,0,0,0,0,0,0,2
62,Glynn County,0,2,1,1,0,0,0,0,0,0,19
63,Gordon County,0,1,0,1,0,0,0,0,0,1,7
64,Grady County,1,1,1,0,1,0,0,1,0,0,9
65,Greene County,0,1,0,1,1,0,0,0,0,0,10
66,Gwinnett County,1,1,1,0,2,0,3,0,0,1,27
67,Habersham County,1,1,1,0,1,0,0,0,0,0,10
68,Hall County,0,2,0,1,0,1,0,3,0,1,15
69,Hancock County,0,0,0,1,0,0,0,0,0,0,1
70,Haralson County,0,2,0,1,0,0,0,0,0,0,8
71,Harris County,1,1,0,1,0,0,0,2,0,0,7
