,Unnamed: 0,agency_name,agency_status,agency_address,agency_latitude,agency_longitude,latlng,city,state,county
0,0,Acceptance Insurance,OPERATIONAL,"3000 Dunn Avenue Suite 68A, Jacksonville",30.4376187,-81.7005653,"30.43761869999999,-81.7005653",Jacksonville,Florida,Duval County
1,1,Phenix Supply Co,OPERATIONAL,"11705 Industry Drive, Jacksonville",30.449305,-81.625894,"30.449305,-81.62589400000002",Jacksonville,Florida,Duval County
2,2,Insurance Auto Auctions,OPERATIONAL,"14492 New Kings Road, Jacksonville",30.4963744,-81.7892703,"30.49637439999999,-81.7892703",Jacksonville,Florida,Duval County
3,3,Florida State College of Jacksonville: Insurance & Real Estate,OPERATIONAL,"3939 Roosevelt Boulevard, Jacksonville",30.3004824,-81.7190443,"30.3004824,-81.7190443",Jacksonville,Florida,Duval County
4,4,Gary Anderson - State Farm Insurance Agent,OPERATIONAL,"450111 State Road 200, Callahan",30.568916,-81.8259006,"30.56891599999999,-81.8259006",Callahan,Florida,Nassau County
5,5,Brian Huling - State Farm Insurance Agent,OPERATIONAL,"4197 2nd Street North, Folkston",30.8324109,-82.0065873,"30.8324109,-82.00658729999998",Folkston,Georgia,Charlton County
6,6,Chuck Satterwhite - State Farm Insurance Agent,OPERATIONAL,"521 South 6th Street, Macclenny",30.2760791,-82.1220092,"30.276079100000004,-82.12200920000002",Macclenny,Florida,Baker County
7,7,Baker Title & Escrow Co Inc,OPERATIONAL,"553 East Macclenny Avenue, Macclenny",30.2838174,-82.1152614,"30.2838174,-82.11526140000002",Macclenny,Florida,Baker County
8,8,Axiom Insurance Agency,OPERATIONAL,"212 West Main Street, Folkston",30.8311276,-82.008913,"30.8311276,-82.00891299999998",Folkston,Georgia,Charlton County
9,9,Rochester Debra,OPERATIONAL,"542560 U.S. 1, Callahan",30.568502,-81.834397,"30.568502,-81.834397",Callahan,Florida,Nassau County
10,10,Schwend Earl,OPERATIONAL,"542432 US Highway 1, Callahan",30.5071022,-81.878795,"30.5071022,-81.878795",Callahan,Florida,Nassau County
11,11,Kingsman Financial Services,OPERATIONAL,"6387 Church Avenue East, Bryceville",30.3848207,-81.9394194,"30.3848207,-81.93941939999998",Bryceville,Florida,Nassau County
12,12,Tri-City Insurance,OPERATIONAL,"4275 2nd Street North, Folkston",30.833499,-82.0068854,"30.833499,-82.0068854",Folkston,Georgia,Charlton County
13,13,Mizell Insurance Agency,OPERATIONAL,"11893 New Kings Road, Jacksonville",30.4503812,-81.7687999,"30.4503812,-81.76879989999998",Jacksonville,Florida,Duval County
14,14,A+ Auto Insurance,OPERATIONAL,"787 South 6th Street, Macclenny",30.2715197,-82.1219201,"30.2715197,-82.12192009999998",Macclenny,Florida,Baker County
15,15,Modern Woodmen,OPERATIONAL,Macclenny,30.2822653,-82.12193,"30.2822653,-82.12192999999998",Macclenny,Florida,Baker County
16,16,Baker County Farm Bureau,OPERATIONAL,"539 South 6th Street, Macclenny",30.275541,-82.122043,"30.27554099999999,-82.12204299999998",Macclenny,Florida,Baker County
17,17,Farm Bureau Insurance,OPERATIONAL,"539 South 6th Street, Macclenny",30.275541,-82.1220429,"30.27554099999999,-82.1220429",Macclenny,Florida,Baker County
18,18,Sinclair Trey,OPERATIONAL,"1161A South 6th Street, Macclenny",30.267273,-82.121903,"30.26727299999999,-82.121903",Macclenny,Florida,Baker County
19,19,Modern Woodmen of America,OPERATIONAL,"121 North Lee Street suite c, Kingsland",30.8004892,-81.6901101,"30.8004892,-81.69011009999998",Kingsland,Georgia,Camden County
20,20,Horace Mann Insurance Co,OPERATIONAL,"103 Sago Palm Drive, Kingsland",30.800448,-81.651406,"30.800448,-81.65140600000002",Kingsland,Georgia,Camden County
21,21,Tara J Smith: Allstate Insurance,OPERATIONAL,"2915 Unit 603, Kerry Forest Parkway, Tallahassee",30.540195,-84.2263119,"30.540195,-84.22631190000001",Tallahassee,Florida,Leon County
22,22,Vicki Catsimpiris - State Farm Insurance Agent,OPERATIONAL,"3360 Capital Circle Northeast Ste B, Tallahassee",30.4979616,-84.2472653,"30.497961600000004,-84.2472653",Tallahassee,Florida,Leon County
23,23,Aflac,OPERATIONAL,"1344 Vickers Road, Tallahassee",30.4870625,-84.3121636,"30.48706250000001,-84.31216359999998",Tallahassee,Florida,Leon County
24,24,Florida Healthy Kids + Florida KidCare,OPERATIONAL,"1203 Governors Square Boulevard #400, Tallahassee",30.4394516,-84.2638472,"30.4394516,-84.2638472",Tallahassee,Florida,Leon County
